date,store_id,sku_id,units_sold,revenue,promo_flag
2025-06-27,STR-01,SKU-00003,9,89.82,False
2025-06-27,STR-01,SKU-00007,13,57.46,False
2025-06-27,STR-01,SKU-00001,7,22.54,False
2025-06-27,STR-01,SKU-00004,12,115.56,False
2025-06-27,STR-01,SKU-00015,23,73.14,False
2025-06-27,STR-01,SKU-00023,9,37.8,False
2025-06-27,STR-01,SKU-00024,11,23.65,False
2025-06-27,STR-01,SKU-00008,9,23.67,False
2025-06-27,STR-01,SKU-00010,7,56.77,False
2025-06-27,STR-01,SKU-00002,22,71.06,False
2025-06-27,STR-01,SKU-00009,14,95.34,False
2025-06-27,STR-01,SKU-00020,6,56.88,False
2025-06-27,STR-01,SKU-00021,1,3.14,False
2025-06-27,STR-01,SKU-00014,11,79.64,False
2025-06-27,STR-01,SKU-00019,14,125.16,False
2025-06-27,STR-01,SKU-00018,14,47.32,False
2025-06-27,STR-01,SKU-00022,6,44.58,False
2025-06-27,STR-01,SKU-00011,3,32.91,False
2025-06-27,STR-01,SKU-00013,6,29.7,False
2025-06-27,STR-02,SKU-00020,5,47.4,False
2025-06-27,STR-02,SKU-00010,6,48.66,False
2025-06-27,STR-02,SKU-00015,16,50.88,False
2025-06-27,STR-02,SKU-00018,11,37.18,False
2025-06-27,STR-02,SKU-00002,24,77.52,False
2025-06-27,STR-02,SKU-00011,3,32.91,False
2025-06-27,STR-02,SKU-00003,21,209.58,False
2025-06-27,STR-02,SKU-00014,18,130.32,False
2025-06-27,STR-02,SKU-00008,18,47.34,False
2025-06-27,STR-02,SKU-00012,4,20.56,False
2025-06-27,STR-02,SKU-00016,7,24.36,False
2025-06-27,STR-02,SKU-00009,25,170.25,False
2025-06-27,STR-02,SKU-00023,8,33.6,False
2025-06-27,STR-02,SKU-00019,17,151.98,False
2025-06-27,STR-02,SKU-00024,8,17.2,False
2025-06-27,STR-02,SKU-00007,15,66.3,False
2025-06-27,STR-02,SKU-00006,5,39.3,False
2025-06-27,STR-02,SKU-00013,12,59.4,False
2025-06-27,STR-02,SKU-00022,10,74.3,False
2025-06-27,STR-03,SKU-00018,7,23.66,False
2025-06-27,STR-03,SKU-00019,25,223.5,False
2025-06-27,STR-03,SKU-00008,23,60.49,False
2025-06-27,STR-03,SKU-00016,10,34.8,False
2025-06-27,STR-03,SKU-00001,16,51.52,False
2025-06-27,STR-03,SKU-00021,2,6.28,False
2025-06-27,STR-03,SKU-00013,11,54.45,False
2025-06-27,STR-03,SKU-00004,5,48.15,False
2025-06-27,STR-03,SKU-00017,15,56.1,False
2025-06-27,STR-03,SKU-00005,1,3.43,False
2025-06-27,STR-03,SKU-00006,16,125.76,False
2025-06-27,STR-03,SKU-00020,3,28.44,False
2025-06-27,STR-03,SKU-00015,13,41.34,False
2025-06-27,STR-03,SKU-00009,11,74.91,False
2025-06-27,STR-03,SKU-00023,6,25.2,False
2025-06-27,STR-03,SKU-00002,12,38.76,False
2025-06-27,STR-03,SKU-00007,12,53.04,False
2025-06-27,STR-03,SKU-00010,6,48.66,False
2025-06-27,STR-03,SKU-00011,2,21.94,False
2025-06-27,STR-04,SKU-00015,5,15.9,False
2025-06-27,STR-04,SKU-00003,5,49.9,False
2025-06-27,STR-04,SKU-00004,3,28.89,False
2025-06-27,STR-04,SKU-00013,7,34.65,False
2025-06-27,STR-04,SKU-00014,7,50.68,False
2025-06-27,STR-04,SKU-00011,3,32.91,False
2025-06-27,STR-04,SKU-00020,5,47.4,False
2025-06-27,STR-04,SKU-00007,4,17.68,False
2025-06-27,STR-04,SKU-00018,6,20.28,False
2025-06-27,STR-04,SKU-00021,3,9.42,False
2025-06-27,STR-04,SKU-00001,3,9.66,False
2025-06-27,STR-04,SKU-00010,5,40.55,False
2025-06-27,STR-04,SKU-00022,5,37.15,False
2025-06-27,STR-04,SKU-00006,11,86.46,False
2025-06-27,STR-04,SKU-00017,3,11.22,False
2025-06-27,STR-04,SKU-00009,15,102.15,False
2025-06-27,STR-04,SKU-00012,6,30.84,False
2025-06-27,STR-04,SKU-00016,5,17.4,False
2025-06-27,STR-04,SKU-00005,4,13.72,False
2025-06-27,STR-05,SKU-00005,2,6.86,False
2025-06-27,STR-05,SKU-00024,15,32.25,False
2025-06-27,STR-05,SKU-00004,7,67.41,False
2025-06-27,STR-05,SKU-00021,4,12.56,False
2025-06-27,STR-05,SKU-00002,17,54.91,False
2025-06-27,STR-05,SKU-00018,6,20.28,False
2025-06-27,STR-05,SKU-00020,6,56.88,False
2025-06-27,STR-05,SKU-00014,12,86.88,False
2025-06-27,STR-05,SKU-00010,7,56.77,False
2025-06-27,STR-05,SKU-00001,9,28.98,False
2025-06-27,STR-05,SKU-00019,8,71.52,False
2025-06-27,STR-05,SKU-00015,10,31.8,False
2025-06-27,STR-05,SKU-00011,9,98.73,False
2025-06-27,STR-05,SKU-00016,3,10.44,False
2025-06-27,STR-05,SKU-00013,5,24.75,False
2025-06-27,STR-05,SKU-00008,19,49.97,False
2025-06-27,STR-05,SKU-00006,4,31.44,False
2025-06-27,STR-05,SKU-00017,5,18.7,False
2025-06-27,STR-05,SKU-00003,19,189.62,False
2025-06-27,STR-06,SKU-00011,3,32.91,False
2025-06-27,STR-06,SKU-00015,14,44.52,False
2025-06-27,STR-06,SKU-00014,12,86.88,False
2025-06-27,STR-06,SKU-00017,10,37.4,False
2025-06-27,STR-06,SKU-00006,9,70.74,False
2025-06-27,STR-06,SKU-00004,6,57.78,False
2025-06-27,STR-06,SKU-00022,19,141.17,False
2025-06-27,STR-06,SKU-00005,3,10.29,False
2025-06-27,STR-06,SKU-00024,16,34.4,False
2025-06-27,STR-06,SKU-00020,5,47.4,False
2025-06-27,STR-06,SKU-00003,11,109.78,False
2025-06-27,STR-06,SKU-00023,6,25.2,False
2025-06-27,STR-06,SKU-00010,6,48.66,False
2025-06-27,STR-06,SKU-00021,3,9.42,False
2025-06-27,STR-06,SKU-00018,9,30.42,False
2025-06-27,STR-06,SKU-00002,10,32.3,False
2025-06-27,STR-06,SKU-00019,3,26.82,False
2025-06-27,STR-06,SKU-00009,7,47.67,False
2025-06-27,STR-06,SKU-00001,6,19.32,False
2025-06-27,STR-07,SKU-00014,9,65.16,False
2025-06-27,STR-07,SKU-00022,6,44.58,False
2025-06-27,STR-07,SKU-00005,8,27.44,False
2025-06-27,STR-07,SKU-00012,9,46.26,False
2025-06-27,STR-07,SKU-00013,17,84.15,False
2025-06-27,STR-07,SKU-00019,9,80.46,False
2025-06-27,STR-07,SKU-00016,8,27.84,False
2025-06-27,STR-07,SKU-00010,13,105.43,False
2025-06-27,STR-07,SKU-00021,3,9.42,False
2025-06-27,STR-07,SKU-00004,9,86.67,False
2025-06-27,STR-07,SKU-00007,12,53.04,False
2025-06-27,STR-07,SKU-00018,15,50.7,False
2025-06-27,STR-07,SKU-00002,8,25.84,False
2025-06-27,STR-07,SKU-00023,15,63.0,False
2025-06-27,STR-07,SKU-00008,9,23.67,False
2025-06-27,STR-07,SKU-00006,14,110.04,False
2025-06-27,STR-07,SKU-00017,12,44.88,False
2025-06-27,STR-07,SKU-00020,7,66.36,False
2025-06-27,STR-07,SKU-00003,8,79.84,False
2025-06-27,STR-08,SKU-00009,5,34.05,False
2025-06-27,STR-08,SKU-00014,9,65.16,False
2025-06-27,STR-08,SKU-00006,4,31.44,False
2025-06-27,STR-08,SKU-00001,2,6.44,False
2025-06-27,STR-08,SKU-00020,2,18.96,False
2025-06-27,STR-08,SKU-00021,3,9.42,False
2025-06-27,STR-08,SKU-00011,0,0.0,False
2025-06-27,STR-08,SKU-00018,8,27.04,False
2025-06-27,STR-08,SKU-00023,11,46.2,False
2025-06-27,STR-08,SKU-00019,2,17.88,False
2025-06-27,STR-08,SKU-00017,9,33.66,False
2025-06-27,STR-08,SKU-00004,1,9.63,False
2025-06-27,STR-08,SKU-00010,1,8.11,False
2025-06-27,STR-08,SKU-00013,2,9.9,False
2025-06-27,STR-08,SKU-00002,3,9.69,False
2025-06-27,STR-08,SKU-00012,1,5.14,False
2025-06-27,STR-08,SKU-00015,7,22.26,False
2025-06-27,STR-08,SKU-00024,3,6.45,False
2025-06-27,STR-08,SKU-00005,0,0.0,False
2025-06-28,STR-01,SKU-00003,14,139.72,False
2025-06-28,STR-01,SKU-00007,14,61.88,False
2025-06-28,STR-01,SKU-00001,9,28.98,False
2025-06-28,STR-01,SKU-00004,10,96.3,False
2025-06-28,STR-01,SKU-00015,26,82.68,False
2025-06-28,STR-01,SKU-00023,5,21.0,False
2025-06-28,STR-01,SKU-00024,23,49.45,False
2025-06-28,STR-01,SKU-00008,13,34.19,False
2025-06-28,STR-01,SKU-00010,14,113.54,False
2025-06-28,STR-01,SKU-00002,29,93.67,False
2025-06-28,STR-01,SKU-00009,12,81.72,False
2025-06-28,STR-01,SKU-00020,7,66.36,False
2025-06-28,STR-01,SKU-00021,8,25.12,False
2025-06-28,STR-01,SKU-00014,13,94.12,False
2025-06-28,STR-01,SKU-00019,28,250.32,False
2025-06-28,STR-01,SKU-00018,20,67.6,False
2025-06-28,STR-01,SKU-00022,9,66.87,False
2025-06-28,STR-01,SKU-00011,5,54.85,False
2025-06-28,STR-01,SKU-00013,8,39.6,False
2025-06-28,STR-02,SKU-00020,12,113.76,False
2025-06-28,STR-02,SKU-00010,8,64.88,False
2025-06-28,STR-02,SKU-00015,18,57.24,False
2025-06-28,STR-02,SKU-00018,19,64.22,False
2025-06-28,STR-02,SKU-00002,28,90.44,False
2025-06-28,STR-02,SKU-00011,4,43.88,False
2025-06-28,STR-02,SKU-00003,22,219.56,False
2025-06-28,STR-02,SKU-00014,17,123.08,False
2025-06-28,STR-02,SKU-00008,14,36.82,False
2025-06-28,STR-02,SKU-00012,1,5.14,False
2025-06-28,STR-02,SKU-00016,5,17.4,False
2025-06-28,STR-02,SKU-00009,20,136.2,False
2025-06-28,STR-02,SKU-00023,17,71.4,False
2025-06-28,STR-02,SKU-00019,23,205.62,False
2025-06-28,STR-02,SKU-00024,9,19.35,False
2025-06-28,STR-02,SKU-00007,17,75.14,False
2025-06-28,STR-02,SKU-00006,15,117.9,False
2025-06-28,STR-02,SKU-00013,10,49.5,False
2025-06-28,STR-02,SKU-00022,4,29.72,False
2025-06-28,STR-03,SKU-00018,14,47.32,False
2025-06-28,STR-03,SKU-00019,31,277.14,False
2025-06-28,STR-03,SKU-00008,31,81.53,False
2025-06-28,STR-03,SKU-00016,10,34.8,False
2025-06-28,STR-03,SKU-00001,16,51.52,False
2025-06-28,STR-03,SKU-00021,4,12.56,False
2025-06-28,STR-03,SKU-00013,17,84.15,False
2025-06-28,STR-03,SKU-00004,9,86.67,False
2025-06-28,STR-03,SKU-00017,16,59.84,False
2025-06-28,STR-03,SKU-00005,4,13.72,False
2025-06-28,STR-03,SKU-00006,19,149.34,False
2025-06-28,STR-03,SKU-00020,7,66.36,False
