sku_id,effective_date,list_price,currency
SKU-00001,2025-06-27,3.22,AUD
SKU-00001,2026-01-07,3.42,AUD
SKU-00002,2025-06-27,3.23,AUD
SKU-00003,2025-06-27,9.98,AUD
SKU-00004,2025-06-27,9.63,AUD
SKU-00005,2025-06-27,3.43,AUD
SKU-00006,2025-06-27,7.86,AUD
SKU-00007,2025-06-27,4.42,AUD
SKU-00008,2025-06-27,2.63,AUD
SKU-00009,2025-06-27,6.81,AUD
SKU-00010,2025-06-27,8.11,AUD
SKU-00010,2026-04-28,8.65,AUD
SKU-00011,2025-06-27,10.97,AUD
SKU-00011,2026-05-29,11.36,AUD
SKU-00012,2025-06-27,5.14,AUD
SKU-00012,2026-02-06,5.24,AUD
SKU-00013,2025-06-27,4.95,AUD
SKU-00014,2025-06-27,7.24,AUD
SKU-00015,2025-06-27,3.18,AUD
SKU-00016,2025-06-27,3.48,AUD
SKU-00017,2025-06-27,3.74,AUD
SKU-00018,2025-06-27,3.38,AUD
SKU-00019,2025-06-27,8.94,AUD
SKU-00019,2026-05-03,9.52,AUD
SKU-00020,2025-06-27,9.48,AUD
SKU-00021,2025-06-27,3.14,AUD
SKU-00022,2025-06-27,7.43,AUD
SKU-00023,2025-06-27,4.2,AUD
SKU-00023,2026-01-24,4.38,AUD
SKU-00024,2025-06-27,2.15,AUD
