promo_id,sku_id,start_date,end_date,promo_type,discount_pct,planned_uplift_pct
PROMO-00001,SKU-00008,2025-08-13,2025-08-26,Multi-buy,20.0,40.0
PROMO-00002,SKU-00019,2025-12-15,2025-12-28,Multi-buy,20.0,40.0
PROMO-00003,SKU-00014,2025-09-13,2025-09-24,Percent Off,27.0,25.0
PROMO-00004,SKU-00014,2025-08-12,2025-08-18,Feature Display,0.0,15.0
PROMO-00005,SKU-00014,2026-03-08,2026-03-17,Multi-buy,20.0,40.0
PROMO-00006,SKU-00004,2025-09-14,2025-09-24,Feature Display,0.0,15.0
PROMO-00007,SKU-00004,2025-10-02,2025-10-15,BOGO,50.0,75.0
PROMO-00008,SKU-00024,2025-08-30,2025-09-10,BOGO,50.0,75.0
PROMO-00009,SKU-00024,2025-10-31,2025-11-14,BOGO,50.0,75.0
PROMO-00010,SKU-00012,2026-06-02,2026-06-11,Feature Display,0.0,15.0
PROMO-00011,SKU-00013,2026-04-11,2026-04-25,Multi-buy,20.0,40.0
PROMO-00012,SKU-00020,2025-09-26,2025-10-04,Percent Off,17.0,25.0
PROMO-00013,SKU-00020,2025-07-11,2025-07-16,BOGO,50.0,75.0
PROMO-00014,SKU-00006,2026-01-25,2026-02-07,BOGO,50.0,75.0
PROMO-00015,SKU-00006,2025-12-06,2025-12-15,Feature Display,0.0,15.0
PROMO-00016,SKU-00015,2025-07-17,2025-07-22,Multi-buy,20.0,40.0
PROMO-00017,SKU-00015,2025-09-08,2025-09-22,Feature Display,0.0,15.0
PROMO-00018,SKU-00001,2025-11-27,2025-12-05,Multi-buy,20.0,40.0
PROMO-00019,SKU-00005,2026-02-19,2026-03-03,BOGO,50.0,75.0
PROMO-00020,SKU-00005,2026-03-20,2026-03-29,Percent Off,13.0,25.0
PROMO-00021,SKU-00005,2026-01-27,2026-02-10,Multi-buy,20.0,40.0
PROMO-00022,SKU-00017,2025-10-04,2025-10-18,Multi-buy,20.0,40.0
PROMO-00023,SKU-00017,2025-07-13,2025-07-23,Multi-buy,20.0,40.0
PROMO-00024,SKU-00017,2025-09-11,2025-09-22,Feature Display,0.0,15.0
PROMO-00025,SKU-00017,2026-03-02,2026-03-07,Multi-buy,20.0,40.0
PROMO-00026,SKU-00010,2025-12-12,2025-12-24,Percent Off,25.0,25.0
PROMO-00027,SKU-00010,2026-05-24,2026-06-01,Multi-buy,20.0,40.0
