po_id,supplier_id,sku_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,unit_cost,status
PO-000001,SUP-07,SKU-00006,WH-VIC,2025-06-28,2025-07-06,2025-07-09,76.0,76.0,4.07,Late
PO-000002,SUP-06,SKU-00009,WH-WA,2025-06-28,2025-07-02,2025-07-03,100.0,100.0,4.65,Late
PO-000003,SUP-06,SKU-00003,WH-VIC,2025-06-29,2025-07-03,2025-07-04,158.0,158.0,5.99,Late
PO-000004,SUP-05,SKU-00001,WH-WA,2025-06-29,2025-07-08,2025-07-08,163.0,163.0,1.57,Received
PO-000005,SUP-05,SKU-00023,WH-NSW,2025-06-30,2025-07-09,2025-07-07,253.0,253.0,2.48,Received
PO-000006,SUP-02,SKU-00008,WH-QLD,2025-06-30,2025-07-10,2025-07-09,366.0,366.0,1.67,Received
PO-000007,SUP-05,SKU-00013,WH-QLD,2025-07-01,2025-07-10,2025-07-11,396.0,396.0,2.42,Late
PO-000008,SUP-06,SKU-00003,WH-NSW,2025-07-02,2025-07-06,2025-07-05,172.0,172.0,5.99,Received
PO-000009,SUP-01,SKU-00015,WH-NSW,2025-07-02,2025-07-06,2025-07-07,181.0,181.0,2.27,Late
PO-000010,SUP-06,SKU-00019,WH-NSW,2025-07-02,2025-07-06,2025-07-06,155.0,155.0,5.36,Received
PO-000011,SUP-02,SKU-00024,WH-NSW,2025-07-02,2025-07-12,2025-07-12,234.0,234.0,1.36,Received
PO-000012,SUP-02,SKU-00004,WH-QLD,2025-07-02,2025-07-21,2025-07-21,160.0,160.0,5.29,Received
PO-000013,SUP-07,SKU-00006,WH-QLD,2025-07-02,2025-07-10,2025-07-08,142.0,142.0,4.07,Received
PO-000014,SUP-03,SKU-00010,WH-QLD,2025-07-02,2025-07-21,2025-07-22,221.0,221.0,4.29,Late
PO-000015,SUP-07,SKU-00012,WH-QLD,2025-07-02,2025-07-10,2025-07-11,108.0,108.0,2.93,Late
PO-000016,SUP-02,SKU-00014,WH-QLD,2025-07-02,2025-07-12,2025-07-12,123.0,123.0,4.12,Received
PO-000017,SUP-06,SKU-00019,WH-QLD,2025-07-02,2025-07-06,2025-07-07,251.0,251.0,5.36,Late
PO-000018,SUP-07,SKU-00022,WH-QLD,2025-07-02,2025-07-10,2025-07-11,72.0,72.0,3.85,Late
PO-000019,SUP-06,SKU-00009,WH-VIC,2025-07-02,2025-07-06,2025-07-06,82.0,82.0,4.65,Received
PO-000020,SUP-01,SKU-00015,WH-WA,2025-07-02,2025-07-06,2025-07-06,80.0,80.0,2.27,Received
PO-000021,SUP-05,SKU-00017,WH-WA,2025-07-02,2025-07-11,2025-07-11,176.0,176.0,1.83,Received
PO-000022,SUP-06,SKU-00009,WH-QLD,2025-07-03,2025-07-07,2025-07-08,90.0,90.0,4.65,Late
