return_id,date,store_id,sku_id,quantity,reason
RET-000001,2026-05-03,STR-06,SKU-00017,2,Near expiry
RET-000002,2026-05-31,STR-05,SKU-00021,1,Damaged in transit
RET-000003,2025-08-11,STR-07,SKU-00020,2,Customer change of mind
RET-000004,2025-08-23,STR-06,SKU-00003,2,Quality issue
RET-000005,2025-08-01,STR-05,SKU-00019,2,Incorrect item
RET-000006,2026-08-06,STR-01,SKU-00001,1,Near expiry
RET-000007,2026-06-09,STR-04,SKU-00006,2,Near expiry
RET-000008,2025-12-24,STR-03,SKU-00009,1,Customer change of mind
RET-000009,2026-02-11,STR-06,SKU-00002,1,Incorrect item
RET-000010,2026-03-02,STR-08,SKU-00013,2,Damaged in transit
RET-000011,2026-07-26,STR-07,SKU-00020,1,Damaged in transit
RET-000012,2025-09-21,STR-03,SKU-00001,1,Quality issue
RET-000013,2025-11-29,STR-06,SKU-00021,2,Customer change of mind
RET-000014,2026-01-18,STR-01,SKU-00003,1,Damaged in transit
RET-000015,2026-04-26,STR-04,SKU-00022,2,Incorrect item
RET-000016,2025-10-31,STR-06,SKU-00018,1,Damaged in transit
RET-000017,2025-11-25,STR-01,SKU-00018,2,Incorrect item
RET-000018,2025-07-17,STR-06,SKU-00010,2,Damaged in transit
RET-000019,2026-07-18,STR-02,SKU-00009,1,Damaged in transit
RET-000020,2026-07-03,STR-04,SKU-00004,2,Incorrect item
RET-000021,2026-02-08,STR-04,SKU-00006,2,Quality issue
RET-000022,2026-08-16,STR-01,SKU-00009,1,Incorrect item
RET-000023,2026-07-28,STR-04,SKU-00016,2,Near expiry
RET-000024,2026-02-06,STR-04,SKU-00017,1,Incorrect item
RET-000025,2026-06-12,STR-03,SKU-00010,2,Near expiry
RET-000026,2025-08-14,STR-03,SKU-00011,1,Incorrect item
RET-000027,2025-12-20,STR-05,SKU-00016,1,Quality issue
RET-000028,2025-08-02,STR-02,SKU-00016,1,Customer change of mind
RET-000029,2026-07-29,STR-01,SKU-00004,2,Near expiry
RET-000030,2025-11-17,STR-02,SKU-00002,1,Near expiry
RET-000031,2026-05-19,STR-05,SKU-00003,1,Customer change of mind
RET-000032,2025-12-29,STR-03,SKU-00016,2,Customer change of mind
RET-000033,2026-01-28,STR-03,SKU-00019,1,Quality issue
RET-000034,2026-01-23,STR-05,SKU-00005,1,Damaged in transit
RET-000035,2025-12-28,STR-01,SKU-00020,2,Near expiry
RET-000036,2026-04-10,STR-02,SKU-00013,1,Customer change of mind
RET-000037,2025-08-12,STR-08,SKU-00005,1,Damaged in transit
RET-000038,2025-12-24,STR-02,SKU-00014,2,Incorrect item
RET-000039,2026-05-13,STR-07,SKU-00003,2,Customer change of mind
RET-000040,2025-08-11,STR-01,SKU-00001,1,Near expiry
RET-000041,2026-06-22,STR-04,SKU-00014,2,Near expiry
RET-000042,2026-05-28,STR-02,SKU-00008,1,Quality issue
