sku_id,product_id,category,subcategory,pack_size,uom,barcode,unit_cost,unit_price,case_pack_qty,discontinued
SKU-00001,PROD-0001,Beverages,Soft Drinks,500ml,EA,936672543337,1.57,3.22,12,False
SKU-00002,PROD-0002,Snacks,Biscuits,300g,EA,932062053118,2.21,3.23,12,False
SKU-00003,PROD-0003,Dairy,Cheese,2L,EA,937297364203,5.99,9.98,8,False
SKU-00004,PROD-0004,Household,Laundry,2L,EA,938008758134,5.29,9.63,12,False
SKU-00005,PROD-0005,Personal Care,Oral Care,100ml,EA,933450174056,2.29,3.43,24,False
SKU-00006,PROD-0006,Frozen,Frozen Meals,500g,EA,935101986608,4.07,7.86,6,False
SKU-00007,PROD-0007,Beverages,Juice,6x330ml,EA,936212976119,2.62,4.42,6,False
SKU-00008,PROD-0008,Snacks,Chips,300g,EA,937826675767,1.67,2.63,6,False
SKU-00009,PROD-0009,Dairy,Cheese,2L,EA,936645779565,4.65,6.81,24,False
SKU-00010,PROD-0010,Household,Laundry,750ml,EA,931759998890,4.29,8.11,24,False
SKU-00011,PROD-0011,Personal Care,Oral Care,250ml,EA,935445917372,5.92,10.97,12,False
SKU-00012,PROD-0012,Frozen,Frozen Meals,500g,EA,931930626709,2.93,5.14,12,False
SKU-00013,PROD-0013,Beverages,Juice,500ml,EA,939326081064,2.42,4.95,24,False
SKU-00014,PROD-0014,Snacks,Chips,Multipack,EA,936318239422,4.12,7.24,24,False
SKU-00015,PROD-0015,Dairy,Yoghurt,1L,EA,935340730932,2.27,3.18,6,False
SKU-00016,PROD-0016,Household,Laundry,2L,EA,935379924977,2.03,3.48,8,False
SKU-00017,PROD-0001,Beverages,Soft Drinks,6x330ml,EA,936145552470,1.83,3.74,12,False
SKU-00018,PROD-0002,Snacks,Biscuits,300g,EA,933984120975,2.32,3.38,12,False
SKU-00019,PROD-0003,Dairy,Cheese,2L,EA,931194508718,5.36,8.94,24,False
SKU-00020,PROD-0004,Household,Laundry,2L,EA,932262241800,5.2,9.48,8,False
SKU-00021,PROD-0005,Personal Care,Oral Care,100ml,EA,937050160836,2.1,3.14,24,False
SKU-00022,PROD-0006,Frozen,Frozen Meals,500g,EA,937542951527,3.85,7.43,12,False
SKU-00023,PROD-0007,Beverages,Juice,6x330ml,EA,939244106605,2.48,4.2,8,False
SKU-00024,PROD-0008,Snacks,Chips,Multipack,EA,935993672223,1.36,2.15,6,False
