date,region,avg_temp_c,precipitation_mm,severe_weather_flag
2025-06-27,VIC,8.3,2.4,False
2025-06-28,VIC,9.5,0.0,False
2025-06-29,VIC,7.1,0.6,False
2025-06-30,VIC,6.2,2.9,False
2025-07-01,VIC,6.9,0.0,False
2025-07-02,VIC,7.6,2.7,True
2025-07-03,VIC,7.5,2.6,False
2025-07-04,VIC,5.5,0.3,False
2025-07-05,VIC,7.3,6.8,False
2025-07-06,VIC,7.5,3.8,False
2025-07-07,VIC,11.1,6.2,False
2025-07-08,VIC,10.1,0.4,False
2025-07-09,VIC,5.7,3.6,False
2025-07-10,VIC,6.6,1.1,False
2025-07-11,VIC,4.7,7.9,False
2025-07-12,VIC,6.1,1.7,False
2025-07-13,VIC,7.5,2.5,False
2025-07-14,VIC,8.9,0.8,False
2025-07-15,VIC,5.8,1.7,False
2025-07-16,VIC,6.0,3.6,False
2025-07-17,VIC,3.6,2.8,False
2025-07-18,VIC,6.7,0.0,False
2025-07-19,VIC,5.3,0.1,False
2025-07-20,VIC,6.2,1.6,False
2025-07-21,VIC,5.6,3.9,False
2025-07-22,VIC,6.9,2.4,False
2025-07-23,VIC,4.2,0.5,False
2025-07-24,VIC,4.7,4.2,False
2025-07-25,VIC,10.5,8.8,False
2025-07-26,VIC,5.0,1.1,False
2025-07-27,VIC,5.4,1.7,False
2025-07-28,VIC,10.1,1.5,False
2025-07-29,VIC,11.8,0.9,False
2025-07-30,VIC,5.3,1.1,False
2025-07-31,VIC,6.7,0.9,False
2025-08-01,VIC,7.8,0.5,False
2025-08-02,VIC,10.1,0.2,False
2025-08-03,VIC,5.8,0.9,True
2025-08-04,VIC,7.0,5.6,False
2025-08-05,VIC,8.7,1.0,False
2025-08-06,VIC,8.2,0.7,False
2025-08-07,VIC,6.9,4.0,False
2025-08-08,VIC,7.4,1.3,False
2025-08-09,VIC,5.4,3.7,False
2025-08-10,VIC,7.3,3.0,False
2025-08-11,VIC,7.3,3.0,False
2025-08-12,VIC,8.2,0.9,False
2025-08-13,VIC,7.0,2.2,False
2025-08-14,VIC,8.7,7.5,False
2025-08-15,VIC,9.6,3.5,False
2025-08-16,VIC,8.3,3.2,False
2025-08-17,VIC,8.7,1.6,False
2025-08-18,VIC,8.3,3.0,False
2025-08-19,VIC,8.3,1.9,False
2025-08-20,VIC,7.2,0.5,False
2025-08-21,VIC,8.9,0.9,False
2025-08-22,VIC,8.4,0.4,False
2025-08-23,VIC,11.9,2.8,False
2025-08-24,VIC,11.2,0.3,False
2025-08-25,VIC,9.4,0.2,False
2025-08-26,VIC,7.6,0.6,False
2025-08-27,VIC,7.2,1.2,False
2025-08-28,VIC,10.9,0.5,False
2025-08-29,VIC,9.5,3.4,False
2025-08-30,VIC,10.0,2.0,False
2025-08-31,VIC,6.5,13.3,False
2025-09-01,VIC,10.9,8.9,False
2025-09-02,VIC,10.2,1.9,False
2025-09-03,VIC,7.8,1.7,False
2025-09-04,VIC,9.0,0.3,False
2025-09-05,VIC,10.2,4.3,False
2025-09-06,VIC,10.0,9.2,False
2025-09-07,VIC,9.6,1.7,False
2025-09-08,VIC,10.0,4.1,False
2025-09-09,VIC,9.8,0.1,False
2025-09-10,VIC,10.6,19.2,False
2025-09-11,VIC,12.8,0.3,False
2025-09-12,VIC,6.5,3.9,False
2025-09-13,VIC,10.3,0.1,False
2025-09-14,VIC,11.1,0.9,False
2025-09-15,VIC,11.4,1.0,False
2025-09-16,VIC,10.5,2.8,False
2025-09-17,VIC,8.4,0.2,False
2025-09-18,VIC,11.8,1.2,False
2025-09-19,VIC,14.2,0.6,False
2025-09-20,VIC,9.1,0.3,False
2025-09-21,VIC,13.1,4.4,False
2025-09-22,VIC,11.3,1.3,False
2025-09-23,VIC,11.8,0.3,False
2025-09-24,VIC,10.4,1.5,False
2025-09-25,VIC,11.6,0.5,False
2025-09-26,VIC,14.4,0.0,False
2025-09-27,VIC,13.4,0.3,False
2025-09-28,VIC,15.3,3.1,False
2025-09-29,VIC,14.6,0.0,True
2025-09-30,VIC,13.5,1.2,False
2025-10-01,VIC,15.8,1.8,False
2025-10-02,VIC,13.8,0.8,False
2025-10-03,VIC,14.6,2.1,False
2025-10-04,VIC,12.9,4.8,False
2025-10-05,VIC,13.6,1.6,False
2025-10-06,VIC,12.5,1.5,False
2025-10-07,VIC,15.4,0.4,False
2025-10-08,VIC,12.0,1.6,False
2025-10-09,VIC,15.3,6.0,False
2025-10-10,VIC,13.9,1.5,False
2025-10-11,VIC,16.2,1.9,False
2025-10-12,VIC,15.7,7.5,False
2025-10-13,VIC,17.5,1.0,False
2025-10-14,VIC,15.9,0.1,False
2025-10-15,VIC,12.4,5.5,False
2025-10-16,VIC,14.9,1.8,False
2025-10-17,VIC,13.3,0.4,False
2025-10-18,VIC,14.5,0.2,False
2025-10-19,VIC,17.8,1.7,False
2025-10-20,VIC,16.6,4.1,False
2025-10-21,VIC,14.6,0.1,False
2025-10-22,VIC,14.2,0.2,False
2025-10-23,VIC,16.0,0.3,False
2025-10-24,VIC,14.2,0.4,False
2025-10-25,VIC,15.2,2.6,False
2025-10-26,VIC,16.9,0.1,False
2025-10-27,VIC,18.4,5.0,False
2025-10-28,VIC,17.6,6.5,False
2025-10-29,VIC,13.1,13.0,False
2025-10-30,VIC,17.4,0.0,False
2025-10-31,VIC,17.2,0.6,False
2025-11-01,VIC,17.8,1.9,False
2025-11-02,VIC,19.9,0.2,False
2025-11-03,VIC,14.1,10.7,False
2025-11-04,VIC,16.6,8.7,False
2025-11-05,VIC,18.7,1.8,False
2025-11-06,VIC,15.3,5.2,False
2025-11-07,VIC,20.3,5.4,False
2025-11-08,VIC,18.7,2.0,False
2025-11-09,VIC,19.6,1.3,False
2025-11-10,VIC,17.4,5.2,False
2025-11-11,VIC,19.8,1.6,False
2025-11-12,VIC,20.3,6.5,False
2025-11-13,VIC,19.1,2.6,False
2025-11-14,VIC,19.2,1.8,False
2025-11-15,VIC,19.4,1.3,False
2025-11-16,VIC,17.7,0.9,False
2025-11-17,VIC,19.0,0.6,False
2025-11-18,VIC,19.1,0.0,False
2025-11-19,VIC,20.0,0.8,False
2025-11-20,VIC,21.1,0.0,False
2025-11-21,VIC,18.0,0.7,False
2025-11-22,VIC,19.6,8.6,False
2025-11-23,VIC,22.2,6.4,False
2025-11-24,VIC,18.8,6.3,False
2025-11-25,VIC,18.8,1.0,False
2025-11-26,VIC,20.5,7.8,False
2025-11-27,VIC,21.6,3.0,False
2025-11-28,VIC,20.4,0.1,False
2025-11-29,VIC,22.6,0.7,False
2025-11-30,VIC,22.0,2.8,False
2025-12-01,VIC,22.0,0.5,True
2025-12-02,VIC,21.7,0.3,False
2025-12-03,VIC,24.6,3.7,False
