date,store_id,sku_id,units_sold,revenue,promo_flag,category,subcategory,unit_price,unit_cost,region,store_format,warehouse_id
2025-06-27,STR-01,SKU-00003,9,89.82,False,Dairy,Cheese,9.98,5.99,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00007,13,57.46,False,Beverages,Juice,4.42,2.62,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00001,7,22.54,False,Beverages,Soft Drinks,3.22,1.57,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00004,12,115.56,False,Household,Laundry,9.63,5.29,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00015,23,73.14,False,Dairy,Yoghurt,3.18,2.27,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00023,9,37.8,False,Beverages,Juice,4.2,2.48,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00024,11,23.65,False,Snacks,Chips,2.15,1.36,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00008,9,23.67,False,Snacks,Chips,2.63,1.67,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00010,7,56.77,False,Household,Laundry,8.11,4.29,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00002,22,71.06,False,Snacks,Biscuits,3.23,2.21,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00009,14,95.34,False,Dairy,Cheese,6.81,4.65,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00020,6,56.88,False,Household,Laundry,9.48,5.2,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00021,1,3.14,False,Personal Care,Oral Care,3.14,2.1,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00014,11,79.64,False,Snacks,Chips,7.24,4.12,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00019,14,125.16,False,Dairy,Cheese,8.94,5.36,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00018,14,47.32,False,Snacks,Biscuits,3.38,2.32,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00022,6,44.58,False,Frozen,Frozen Meals,7.43,3.85,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00011,3,32.91,False,Personal Care,Oral Care,10.97,5.92,VIC,Metro,WH-VIC
2025-06-27,STR-01,SKU-00013,6,29.7,False,Beverages,Juice,4.95,2.42,VIC,Metro,WH-VIC
2025-06-27,STR-02,SKU-00020,5,47.4,False,Household,Laundry,9.48,5.2,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00010,6,48.66,False,Household,Laundry,8.11,4.29,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00015,16,50.88,False,Dairy,Yoghurt,3.18,2.27,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00018,11,37.18,False,Snacks,Biscuits,3.38,2.32,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00002,24,77.52,False,Snacks,Biscuits,3.23,2.21,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00011,3,32.91,False,Personal Care,Oral Care,10.97,5.92,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00003,21,209.58,False,Dairy,Cheese,9.98,5.99,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00014,18,130.32,False,Snacks,Chips,7.24,4.12,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00008,18,47.34,False,Snacks,Chips,2.63,1.67,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00012,4,20.56,False,Frozen,Frozen Meals,5.14,2.93,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00016,7,24.36,False,Household,Laundry,3.48,2.03,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00009,25,170.25,False,Dairy,Cheese,6.81,4.65,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00023,8,33.6,False,Beverages,Juice,4.2,2.48,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00019,17,151.98,False,Dairy,Cheese,8.94,5.36,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00024,8,17.2,False,Snacks,Chips,2.15,1.36,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00007,15,66.3,False,Beverages,Juice,4.42,2.62,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00006,5,39.3,False,Frozen,Frozen Meals,7.86,4.07,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00013,12,59.4,False,Beverages,Juice,4.95,2.42,NSW,Metro,WH-NSW
2025-06-27,STR-02,SKU-00022,10,74.3,False,Frozen,Frozen Meals,7.43,3.85,NSW,Metro,WH-NSW
2025-06-27,STR-03,SKU-00018,7,23.66,False,Snacks,Biscuits,3.38,2.32,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00019,25,223.5,False,Dairy,Cheese,8.94,5.36,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00008,23,60.49,False,Snacks,Chips,2.63,1.67,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00016,10,34.8,False,Household,Laundry,3.48,2.03,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00001,16,51.52,False,Beverages,Soft Drinks,3.22,1.57,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00021,2,6.28,False,Personal Care,Oral Care,3.14,2.1,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00013,11,54.45,False,Beverages,Juice,4.95,2.42,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00004,5,48.15,False,Household,Laundry,9.63,5.29,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00017,15,56.1,False,Beverages,Soft Drinks,3.74,1.83,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00005,1,3.43,False,Personal Care,Oral Care,3.43,2.29,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00006,16,125.76,False,Frozen,Frozen Meals,7.86,4.07,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00020,3,28.44,False,Household,Laundry,9.48,5.2,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00015,13,41.34,False,Dairy,Yoghurt,3.18,2.27,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00009,11,74.91,False,Dairy,Cheese,6.81,4.65,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00023,6,25.2,False,Beverages,Juice,4.2,2.48,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00002,12,38.76,False,Snacks,Biscuits,3.23,2.21,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00007,12,53.04,False,Beverages,Juice,4.42,2.62,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00010,6,48.66,False,Household,Laundry,8.11,4.29,QLD,Metro,WH-QLD
2025-06-27,STR-03,SKU-00011,2,21.94,False,Personal Care,Oral Care,10.97,5.92,QLD,Metro,WH-QLD
2025-06-27,STR-04,SKU-00015,5,15.9,False,Dairy,Yoghurt,3.18,2.27,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00003,5,49.9,False,Dairy,Cheese,9.98,5.99,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00004,3,28.89,False,Household,Laundry,9.63,5.29,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00013,7,34.65,False,Beverages,Juice,4.95,2.42,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00014,7,50.68,False,Snacks,Chips,7.24,4.12,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00011,3,32.91,False,Personal Care,Oral Care,10.97,5.92,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00020,5,47.4,False,Household,Laundry,9.48,5.2,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00007,4,17.68,False,Beverages,Juice,4.42,2.62,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00018,6,20.28,False,Snacks,Biscuits,3.38,2.32,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00021,3,9.42,False,Personal Care,Oral Care,3.14,2.1,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00001,3,9.66,False,Beverages,Soft Drinks,3.22,1.57,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00010,5,40.55,False,Household,Laundry,8.11,4.29,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00022,5,37.15,False,Frozen,Frozen Meals,7.43,3.85,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00006,11,86.46,False,Frozen,Frozen Meals,7.86,4.07,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00017,3,11.22,False,Beverages,Soft Drinks,3.74,1.83,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00009,15,102.15,False,Dairy,Cheese,6.81,4.65,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00012,6,30.84,False,Frozen,Frozen Meals,5.14,2.93,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00016,5,17.4,False,Household,Laundry,3.48,2.03,WA,Regional,WH-WA
2025-06-27,STR-04,SKU-00005,4,13.72,False,Personal Care,Oral Care,3.43,2.29,WA,Regional,WH-WA
2025-06-27,STR-05,SKU-00005,2,6.86,False,Personal Care,Oral Care,3.43,2.29,VIC,Metro,WH-VIC
2025-06-27,STR-05,SKU-00024,15,32.25,False,Snacks,Chips,2.15,1.36,VIC,Metro,WH-VIC
2025-06-27,STR-05,SKU-00004,7,67.41,False,Household,Laundry,9.63,5.29,VIC,Metro,WH-VIC
2025-06-27,STR-05,SKU-00021,4,12.56,False,Personal Care,Oral Care,3.14,2.1,VIC,Metro,WH-VIC
2025-06-27,STR-05,SKU-00002,17,54.91,False,Snacks,Biscuits,3.23,2.21,VIC,Metro,WH-VIC
2025-06-27,STR-05,SKU-00018,6,20.28,False,Snacks,Biscuits,3.38,2.32,VIC,Metro,WH-VIC
2025-06-27,STR-05,SKU-00020,6,56.88,False,Household,Laundry,9.48,5.2,VIC,Metro,WH-VIC
2025-06-27,STR-05,SKU-00014,12,86.88,False,Snacks,Chips,7.24,4.12,VIC,Metro,WH-VIC
2025-06-27,STR-05,SKU-00010,7,56.77,False,Household,Laundry,8.11,4.29,VIC,Metro,WH-VIC
2025-06-27,STR-05,SKU-00001,9,28.98,False,Beverages,Soft Drinks,3.22,1.57,VIC,Metro,WH-VIC
