decision_id,date,sku_id,location_type,location_id,recommended_order_qty,reorder_point,safety_stock_units,approved_qty,approver,override_flag,override_reason,decision_status
DEC-000001,2025-06-27,SKU-00003,Store,STR-02,59.9,82.3,49.4,59.9,System Auto-Replenishment,False,,Auto-approved
DEC-000002,2025-06-27,SKU-00014,Store,STR-04,25.0,35.3,21.2,25.0,System Auto-Replenishment,False,,Auto-approved
DEC-000003,2025-06-27,SKU-00012,Store,STR-04,13.4,19.0,11.4,13.4,System Auto-Replenishment,False,,Auto-approved
DEC-000004,2025-06-27,SKU-00011,Store,STR-05,23.3,28.4,17.0,23.3,System Auto-Replenishment,False,,Auto-approved
DEC-000005,2025-06-27,SKU-00022,Store,STR-06,41.9,49.5,29.7,41.9,System Auto-Replenishment,False,,Auto-approved
DEC-000006,2025-06-27,SKU-00010,Store,STR-07,30.2,34.5,20.7,30.2,System Auto-Replenishment,False,,Auto-approved
DEC-000007,2025-06-28,SKU-00010,Store,STR-01,32.3,42.4,25.4,32.3,System Auto-Replenishment,False,,Auto-approved
DEC-000008,2025-06-28,SKU-00014,Store,STR-01,53.8,70.7,42.4,53.8,System Auto-Replenishment,False,,Auto-approved
DEC-000009,2025-06-28,SKU-00013,Store,STR-01,49.1,69.3,41.6,49.1,System Auto-Replenishment,False,,Auto-approved
DEC-000010,2025-06-28,SKU-00015,Store,STR-02,63.2,75.0,45.0,63.2,System Auto-Replenishment,False,,Auto-approved
DEC-000011,2025-06-28,SKU-00018,Store,STR-02,61.5,83.0,49.8,61.5,System Auto-Replenishment,False,,Auto-approved
DEC-000012,2025-06-28,SKU-00011,Store,STR-02,14.9,18.1,10.8,14.9,System Auto-Replenishment,False,,Auto-approved
DEC-000013,2025-06-28,SKU-00024,Store,STR-02,47.0,58.9,35.3,47.0,System Auto-Replenishment,False,,Auto-approved
DEC-000014,2025-06-28,SKU-00019,Store,STR-03,88.5,112.1,67.3,88.5,System Auto-Replenishment,False,,Auto-approved
DEC-000015,2025-06-28,SKU-00008,Store,STR-03,95.9,123.4,74.0,95.9,System Auto-Replenishment,False,,Auto-approved
DEC-000016,2025-06-28,SKU-00016,Store,STR-03,35.1,50.0,30.0,35.1,System Auto-Replenishment,False,,Auto-approved
DEC-000017,2025-06-28,SKU-00004,Store,STR-03,20.6,27.8,16.7,20.6,System Auto-Replenishment,False,,Auto-approved
DEC-000018,2025-06-28,SKU-00006,Store,STR-03,47.5,43.5,26.1,47.5,System Auto-Replenishment,False,,Auto-approved
DEC-000019,2025-06-28,SKU-00015,Store,STR-03,51.6,59.6,35.7,51.6,System Auto-Replenishment,False,,Auto-approved
DEC-000020,2025-06-28,SKU-00001,Store,STR-04,43.2,60.5,36.3,43.2,System Auto-Replenishment,False,,Auto-approved
DEC-000021,2025-06-28,SKU-00010,Store,STR-04,29.4,29.3,17.6,29.4,System Auto-Replenishment,False,,Auto-approved
DEC-000022,2025-06-28,SKU-00006,Store,STR-04,30.1,35.4,21.3,30.1,System Auto-Replenishment,False,,Auto-approved
DEC-000023,2025-06-28,SKU-00009,Store,Multiple,78.0,63.0,37.8,78.0,System Auto-Replenishment,False,,Auto-approved
DEC-000024,2025-06-28,SKU-00016,Store,STR-04,11.7,16.6,10.0,11.7,System Auto-Replenishment,False,,Auto-approved
DEC-000025,2025-06-28,SKU-00005,Store,Multiple,22.1,13.8,8.3,22.1,System Auto-Replenishment,False,,Auto-approved
DEC-000026,2025-06-28,SKU-00024,Store,STR-05,69.4,81.3,48.8,69.4,System Auto-Replenishment,False,,Auto-approved
DEC-000027,2025-06-28,SKU-00021,Store,STR-05,21.6,29.8,17.9,21.6,System Auto-Replenishment,False,,Auto-approved
DEC-000028,2025-06-28,SKU-00006,Store,STR-05,33.2,43.4,26.1,33.2,System Auto-Replenishment,False,,Auto-approved
DEC-000029,2025-06-28,SKU-00006,Store,STR-06,25.4,29.1,17.5,25.4,System Auto-Replenishment,False,,Auto-approved
DEC-000030,2025-06-28,SKU-00005,Store,STR-06,17.1,13.7,8.2,17.1,System Auto-Replenishment,False,,Auto-approved
DEC-000031,2025-06-28,SKU-00010,Store,STR-06,22.7,27.6,16.5,22.7,System Auto-Replenishment,False,,Auto-approved
DEC-000032,2025-06-28,SKU-00021,Store,STR-06,16.2,15.7,9.4,16.2,System Auto-Replenishment,False,,Auto-approved
DEC-000033,2025-06-28,SKU-00014,Store,STR-07,35.9,48.2,28.9,35.9,System Auto-Replenishment,False,,Auto-approved
DEC-000034,2025-06-28,SKU-00022,Store,STR-07,29.5,34.9,21.0,29.5,System Auto-Replenishment,False,,Auto-approved
DEC-000035,2025-06-28,SKU-00005,Store,STR-07,23.1,24.8,14.9,23.1,System Auto-Replenishment,False,,Auto-approved
DEC-000036,2025-06-28,SKU-00012,Store,STR-07,36.0,49.1,29.5,36.0,System Auto-Replenishment,False,,Auto-approved
DEC-000037,2025-06-28,SKU-00013,Store,STR-07,78.5,106.1,63.7,78.5,System Auto-Replenishment,False,,Auto-approved
DEC-000038,2025-06-28,SKU-00021,Store,STR-07,20.6,22.8,13.7,20.6,System Auto-Replenishment,False,,Auto-approved
DEC-000039,2025-06-28,SKU-00014,Store,STR-08,23.1,32.2,19.3,23.1,System Auto-Replenishment,False,,Auto-approved
DEC-000040,2025-06-28,SKU-00021,Store,STR-08,13.0,14.2,8.5,13.0,System Auto-Replenishment,False,,Auto-approved
DEC-000041,2025-06-28,SKU-00023,Store,STR-08,40.1,47.3,28.4,40.1,System Auto-Replenishment,False,,Auto-approved
DEC-000042,2025-06-28,SKU-00015,Store,STR-08,36.0,36.2,21.7,36.0,System Auto-Replenishment,False,,Auto-approved
DEC-000043,2025-06-29,SKU-00003,Store,Multiple,103.4,51.8,31.1,103.4,System Auto-Replenishment,False,,Auto-approved
DEC-000044,2025-06-29,SKU-00007,Store,STR-01,115.4,144.1,86.4,115.4,System Auto-Replenishment,False,,Auto-approved
DEC-000045,2025-06-29,SKU-00001,Store,STR-01,54.0,68.3,41.0,54.0,System Auto-Replenishment,False,,Auto-approved
DEC-000046,2025-06-29,SKU-00004,Store,STR-01,52.9,59.9,36.0,52.9,System Auto-Replenishment,False,,Auto-approved
DEC-000047,2025-06-29,SKU-00015,Store,STR-01,71.7,96.6,57.9,71.7,System Auto-Replenishment,False,,Auto-approved
DEC-000048,2025-06-29,SKU-00009,Store,STR-01,44.7,58.8,35.3,44.7,System Auto-Replenishment,False,,Auto-approved
DEC-000049,2025-06-29,SKU-00021,Store,STR-01,15.6,18.2,10.9,15.6,System Auto-Replenishment,False,,Auto-approved
DEC-000050,2025-06-29,SKU-00011,Store,STR-01,14.3,15.8,9.5,14.3,System Auto-Replenishment,False,,Auto-approved
DEC-000051,2025-06-29,SKU-00010,Store,STR-02,18.0,24.2,14.5,18.0,System Auto-Replenishment,False,,Auto-approved
DEC-000052,2025-06-29,SKU-00002,Store,STR-02,87.2,119.1,71.5,87.2,System Auto-Replenishment,False,,Auto-approved
DEC-000053,2025-06-29,SKU-00008,Store,STR-02,58.4,78.5,47.1,58.4,System Auto-Replenishment,False,,Auto-approved
DEC-000054,2025-06-29,SKU-00023,Store,STR-02,67.0,87.0,52.2,67.0,System Auto-Replenishment,False,,Auto-approved
DEC-000055,2025-06-29,SKU-00019,Store,Multiple,103.6,69.7,41.8,103.6,System Auto-Replenishment,False,,Auto-approved
DEC-000056,2025-06-29,SKU-00006,Store,STR-02,35.7,38.5,23.1,35.7,System Auto-Replenishment,False,,Auto-approved
DEC-000057,2025-06-29,SKU-00013,Store,STR-02,65.9,84.5,50.7,65.9,System Auto-Replenishment,False,,Auto-approved
DEC-000058,2025-06-29,SKU-00001,Store,STR-03,73.2,95.6,57.4,73.2,System Auto-Replenishment,False,,Auto-approved
DEC-000059,2025-06-29,SKU-00009,Store,STR-03,46.3,59.5,35.7,46.3,System Auto-Replenishment,False,,Auto-approved
DEC-000060,2025-06-29,SKU-00023,Store,STR-03,50.1,58.9,35.4,50.1,System Auto-Replenishment,False,,Auto-approved
DEC-000061,2025-06-29,SKU-00002,Store,STR-03,45.2,62.1,37.3,45.2,System Auto-Replenishment,False,,Auto-approved
DEC-000062,2025-06-29,SKU-00010,Store,STR-03,35.9,34.3,20.6,35.9,System Auto-Replenishment,False,,Auto-approved
DEC-000063,2025-06-29,SKU-00003,Store,STR-04,36.9,43.5,26.1,36.9,System Auto-Replenishment,False,,Auto-approved
DEC-000064,2025-06-29,SKU-00007,Store,STR-04,49.5,56.0,33.6,49.5,System Auto-Replenishment,False,,Auto-approved
DEC-000065,2025-06-29,SKU-00021,Store,STR-04,21.3,21.4,12.8,21.3,System Auto-Replenishment,False,,Auto-approved
DEC-000066,2025-06-29,SKU-00017,Store,STR-04,44.9,53.7,32.2,44.9,System Auto-Replenishment,False,,Auto-approved
DEC-000067,2025-06-29,SKU-00005,Store,STR-05,17.2,20.6,12.4,17.2,System Auto-Replenishment,False,,Auto-approved
DEC-000068,2025-06-29,SKU-00016,Store,STR-05,18.8,22.6,13.5,18.8,System Auto-Replenishment,False,,Auto-approved
DEC-000069,2025-06-29,SKU-00008,Store,STR-05,66.4,93.1,55.8,66.4,System Auto-Replenishment,False,,Auto-approved
DEC-000070,2025-06-29,SKU-00015,Store,STR-06,31.0,37.1,22.3,31.0,System Auto-Replenishment,False,,Auto-approved
DEC-000071,2025-06-29,SKU-00024,Store,STR-06,50.7,51.2,30.7,50.7,System Auto-Replenishment,False,,Auto-approved
DEC-000072,2025-06-29,SKU-00020,Store,STR-06,15.1,21.2,12.7,15.1,System Auto-Replenishment,False,,Auto-approved
DEC-000073,2025-06-29,SKU-00003,Store,STR-06,54.2,59.2,35.5,54.2,System Auto-Replenishment,False,,Auto-approved
DEC-000074,2025-06-29,SKU-00004,Store,STR-07,20.9,24.8,14.9,20.9,System Auto-Replenishment,False,,Auto-approved
DEC-000075,2025-06-29,SKU-00006,Store,STR-07,43.4,46.3,27.8,43.4,System Auto-Replenishment,False,,Auto-approved
DEC-000076,2025-06-29,SKU-00017,Store,STR-07,64.3,86.2,51.7,64.3,System Auto-Replenishment,False,,Auto-approved
DEC-000077,2025-06-29,SKU-00020,Store,STR-07,40.6,49.1,29.5,40.6,System Auto-Replenishment,False,,Auto-approved
DEC-000078,2025-06-29,SKU-00006,Store,STR-08,10.7,13.8,8.3,10.7,System Auto-Replenishment,False,,Auto-approved
DEC-000079,2025-06-29,SKU-00001,Store,STR-08,32.3,34.8,20.9,32.3,System Auto-Replenishment,False,,Auto-approved
DEC-000080,2025-06-29,SKU-00018,Store,STR-08,17.9,22.1,13.3,17.9,System Auto-Replenishment,False,,Auto-approved
DEC-000081,2025-06-29,SKU-00019,Store,STR-08,17.3,22.9,13.8,17.3,System Auto-Replenishment,False,,Auto-approved
DEC-000082,2025-06-29,SKU-00004,Store,STR-08,7.4,7.3,4.4,7.4,System Auto-Replenishment,False,,Auto-approved
DEC-000083,2025-06-29,SKU-00002,Store,STR-08,17.5,21.7,13.0,17.5,System Auto-Replenishment,False,,Auto-approved
DEC-000084,2025-06-30,SKU-00002,Store,STR-01,101.7,123.0,73.8,101.7,System Auto-Replenishment,False,,Auto-approved
DEC-000085,2025-06-30,SKU-00019,Store,Multiple,116.5,86.6,52.0,116.5,System Auto-Replenishment,False,,Auto-approved
DEC-000086,2025-06-30,SKU-00020,Store,STR-02,37.1,47.9,28.7,37.1,System Auto-Replenishment,False,,Auto-approved
DEC-000087,2025-06-30,SKU-00003,Store,STR-02,58.0,82.3,49.4,58.0,System Auto-Replenishment,False,,Auto-approved
DEC-000088,2025-06-30,SKU-00012,Store,STR-02,23.8,22.2,13.3,23.8,System Auto-Replenishment,False,,Auto-approved
DEC-000089,2025-06-30,SKU-00009,Store,Multiple,117.8,95.8,57.5,117.8,System Auto-Replenishment,False,,Auto-approved
DEC-000090,2025-06-30,SKU-00007,Store,STR-02,86.2,111.9,67.1,86.2,System Auto-Replenishment,False,,Auto-approved
DEC-000091,2025-06-30,SKU-00022,Store,Multiple,70.1,40.7,24.4,70.1,System Auto-Replenishment,False,,Auto-approved
DEC-000092,2025-06-30,SKU-00018,Store,STR-03,53.0,67.8,40.7,53.0,System Auto-Replenishment,False,,Auto-approved
DEC-000093,2025-06-30,SKU-00021,Store,STR-03,19.4,20.4,12.2,19.4,System Auto-Replenishment,False,,Auto-approved
DEC-000094,2025-06-30,SKU-00005,Store,STR-03,16.9,20.2,12.1,16.9,System Auto-Replenishment,False,,Auto-approved
DEC-000095,2025-06-30,SKU-00011,Store,STR-04,9.8,13.3,8.0,9.8,System Auto-Replenishment,False,,Auto-approved
DEC-000096,2025-06-30,SKU-00020,Store,STR-04,21.9,28.0,16.8,21.9,System Auto-Replenishment,False,,Auto-approved
DEC-000097,2025-06-30,SKU-00018,Store,STR-04,58.0,80.5,48.3,58.0,System Auto-Replenishment,False,,Auto-approved
DEC-000098,2025-06-30,SKU-00022,Store,STR-04,23.6,27.6,16.6,23.6,System Auto-Replenishment,False,,Auto-approved
DEC-000099,2025-06-30,SKU-00012,Store,STR-04,15.0,19.0,11.4,15.0,System Auto-Replenishment,False,,Auto-approved
DEC-000100,2025-06-30,SKU-00004,Store,STR-05,22.7,30.3,18.2,22.7,System Auto-Replenishment,False,,Auto-approved
DEC-000101,2025-06-30,SKU-00020,Store,STR-05,30.8,43.7,26.2,30.8,System Auto-Replenishment,False,,Auto-approved
DEC-000102,2025-06-30,SKU-00014,Store,STR-05,52.6,70.2,42.1,52.6,System Auto-Replenishment,False,,Auto-approved
DEC-000103,2025-06-30,SKU-00010,Store,STR-05,36.2,49.7,29.8,36.2,System Auto-Replenishment,False,,Auto-approved
DEC-000104,2025-06-30,SKU-00011,Store,STR-05,21.0,28.4,17.0,21.0,System Auto-Replenishment,False,,Auto-approved
DEC-000105,2025-06-30,SKU-00013,Store,STR-05,50.3,66.8,40.1,50.3,System Auto-Replenishment,False,,Auto-approved
DEC-000106,2025-06-30,SKU-00014,Store,STR-06,60.9,70.5,42.3,60.9,System Auto-Replenishment,False,,Auto-approved
DEC-000107,2025-06-30,SKU-00004,Store,STR-06,22.4,28.2,16.9,22.4,System Auto-Replenishment,False,,Auto-approved
DEC-000108,2025-06-30,SKU-00023,Store,STR-06,44.7,54.9,33.0,44.7,System Auto-Replenishment,False,,Auto-approved
DEC-000109,2025-06-30,SKU-00018,Store,STR-06,33.2,40.5,24.3,33.2,System Auto-Replenishment,False,,Auto-approved
DEC-000110,2025-06-30,SKU-00001,Store,STR-06,55.5,72.8,43.7,55.5,System Auto-Replenishment,False,,Auto-approved
DEC-000111,2025-06-30,SKU-00019,Store,STR-07,39.3,51.2,30.7,39.3,System Auto-Replenishment,False,,Auto-approved
DEC-000112,2025-06-30,SKU-00002,Store,STR-07,44.3,57.8,34.7,44.3,System Auto-Replenishment,False,,Auto-approved
DEC-000113,2025-06-30,SKU-00023,Store,STR-07,75.0,102.8,61.7,75.0,System Auto-Replenishment,False,,Auto-approved
DEC-000114,2025-06-30,SKU-00008,Store,STR-07,62.9,77.1,46.2,62.9,System Auto-Replenishment,False,,Auto-approved
DEC-000115,2025-06-30,SKU-00003,Store,STR-07,58.0,70.5,42.3,58.0,System Auto-Replenishment,False,,Auto-approved
DEC-000116,2025-06-30,SKU-00010,Store,STR-08,12.8,15.4,9.2,12.8,System Auto-Replenishment,False,,Auto-approved
DEC-000117,2025-06-30,SKU-00024,Store,STR-08,16.8,23.6,14.1,16.8,System Auto-Replenishment,False,,Auto-approved
DEC-000118,2025-07-01,SKU-00024,Store,STR-01,62.7,83.0,49.8,62.7,System Auto-Replenishment,False,,Auto-approved
DEC-000119,2025-07-01,SKU-00008,Store,STR-01,47.8,59.2,35.5,47.8,System Auto-Replenishment,False,,Auto-approved
DEC-000120,2025-07-01,SKU-00010,Store,STR-01,30.0,42.4,25.4,30.0,System Auto-Replenishment,False,,Auto-approved
DEC-000121,2025-07-01,SKU-00020,Store,STR-01,32.0,37.1,22.3,32.0,System Auto-Replenishment,False,,Auto-approved
DEC-000122,2025-07-01,SKU-00014,Store,STR-02,85.8,101.9,61.2,85.8,System Auto-Replenishment,False,,Auto-approved
DEC-000123,2025-07-01,SKU-00016,Store,STR-02,22.7,25.2,15.1,22.7,System Auto-Replenishment,False,,Auto-approved
DEC-000124,2025-07-01,SKU-00013,Store,STR-03,93.5,112.8,67.7,93.5,System Auto-Replenishment,False,,Auto-approved
DEC-000125,2025-07-01,SKU-00017,Store,STR-03,92.5,115.9,69.5,92.5,System Auto-Replenishment,False,,Auto-approved
