date,store_id,sku_id,stockout_flag,lost_sales_units_estimate,lost_sales_revenue_estimate
2025-07-01,STR-08,SKU-00004,True,1,9.63
2025-07-12,STR-01,SKU-00021,True,2,6.28
2025-08-05,STR-07,SKU-00006,True,4,31.44
2025-08-05,STR-08,SKU-00004,True,1,9.63
2025-08-06,STR-08,SKU-00004,True,2,19.26
2025-08-08,STR-07,SKU-00021,True,1,3.14
2025-08-29,STR-08,SKU-00004,True,1,9.63
2025-09-02,STR-05,SKU-00024,True,4,8.6
2025-09-02,STR-06,SKU-00005,True,1,3.43
2025-09-03,STR-06,SKU-00005,True,3,10.29
2025-09-04,STR-06,SKU-00005,True,2,6.86
2025-09-09,STR-06,SKU-00024,True,3,6.45
2025-09-14,STR-04,SKU-00014,True,1,7.24
2025-10-04,STR-04,SKU-00004,True,6,57.78
2025-10-06,STR-08,SKU-00004,True,2,19.26
2025-10-07,STR-04,SKU-00004,True,3,28.89
2025-10-08,STR-07,SKU-00004,True,5,48.15
2025-10-10,STR-01,SKU-00004,True,6,57.78
2025-10-11,STR-01,SKU-00004,True,25,240.75
2025-10-11,STR-06,SKU-00005,True,2,6.86
2025-10-13,STR-05,SKU-00004,True,4,38.52
2025-10-13,STR-06,SKU-00005,True,1,3.43
2025-10-14,STR-06,SKU-00005,True,2,6.86
2025-10-14,STR-08,SKU-00004,True,3,28.89
2025-10-15,STR-06,SKU-00005,True,5,17.15
2025-10-17,STR-06,SKU-00004,True,4,38.52
2025-10-19,STR-04,SKU-00022,True,2,14.86
2025-10-20,STR-07,SKU-00004,True,7,67.41
2025-10-21,STR-08,SKU-00021,True,1,3.14
2025-10-23,STR-08,SKU-00004,True,2,19.26
2025-10-24,STR-01,SKU-00004,True,12,115.56
2025-10-25,STR-01,SKU-00004,True,11,105.93
2025-10-26,STR-08,SKU-00012,True,4,20.56
2025-10-27,STR-03,SKU-00021,True,3,9.42
2025-10-27,STR-08,SKU-00002,True,1,3.23
2025-11-03,STR-02,SKU-00024,True,6,12.9
2025-11-04,STR-08,SKU-00004,True,1,9.63
2025-11-07,STR-06,SKU-00005,True,3,10.29
2025-11-08,STR-08,SKU-00024,True,6,12.9
2025-11-11,STR-01,SKU-00024,True,20,43.0
2025-11-11,STR-05,SKU-00024,True,15,32.25
2025-11-11,STR-08,SKU-00024,True,2,4.3
2025-11-12,STR-02,SKU-00024,True,9,19.35
2025-11-12,STR-05,SKU-00024,True,32,68.8
2025-11-12,STR-06,SKU-00024,True,2,4.3
2025-11-13,STR-02,SKU-00024,True,18,38.7
2025-11-13,STR-08,SKU-00024,True,3,6.45
2025-11-14,STR-08,SKU-00024,True,5,10.75
2025-11-15,STR-03,SKU-00021,True,2,6.28
2025-11-15,STR-06,SKU-00001,True,2,6.44
2025-11-17,STR-04,SKU-00017,True,1,3.74
2025-11-17,STR-05,SKU-00024,True,2,4.3
2025-11-17,STR-08,SKU-00002,True,1,3.23
2025-11-23,STR-08,SKU-00013,True,3,14.85
2025-11-29,STR-04,SKU-00007,True,1,4.42
2025-11-30,STR-04,SKU-00001,True,24,77.28
2025-12-01,STR-03,SKU-00001,True,1,3.22
2025-12-01,STR-05,SKU-00001,True,2,6.44
2025-12-02,STR-06,SKU-00005,True,1,3.43
2025-12-03,STR-07,SKU-00007,True,8,35.36
2025-12-04,STR-06,SKU-00023,True,7,29.4
2025-12-05,STR-03,SKU-00001,True,16,51.52
2025-12-06,STR-01,SKU-00023,True,6,25.2
2025-12-06,STR-08,SKU-00001,True,1,3.22
2025-12-07,STR-01,SKU-00023,True,27,113.4
2025-12-07,STR-03,SKU-00001,True,21,67.62
2025-12-07,STR-08,SKU-00001,True,9,28.98
2025-12-07,STR-08,SKU-00005,True,2,6.86
2025-12-08,STR-06,SKU-00005,True,1,3.43
2025-12-09,STR-06,SKU-00005,True,1,3.43
2025-12-09,STR-07,SKU-00017,True,5,18.7
2025-12-10,STR-06,SKU-00005,True,1,3.43
2025-12-11,STR-06,SKU-00005,True,3,10.29
2025-12-13,STR-03,SKU-00013,True,23,113.85
2025-12-19,STR-03,SKU-00023,True,1,4.2
2025-12-19,STR-07,SKU-00023,True,5,21.0
2025-12-20,STR-03,SKU-00023,True,25,105.0
2025-12-20,STR-05,SKU-00019,True,3,26.82
2025-12-20,STR-08,SKU-00018,True,3,10.14
2025-12-21,STR-02,SKU-00013,True,10,49.5
2025-12-22,STR-04,SKU-00013,True,3,14.85
2025-12-23,STR-03,SKU-00001,True,10,32.2
2025-12-24,STR-03,SKU-00023,True,2,8.4
2025-12-24,STR-04,SKU-00011,True,1,10.97
2025-12-25,STR-01,SKU-00013,True,1,4.95
2025-12-25,STR-03,SKU-00001,True,32,103.04
2025-12-25,STR-03,SKU-00007,True,13,57.46
2025-12-25,STR-05,SKU-00019,True,2,17.88
2025-12-25,STR-08,SKU-00019,True,3,26.82
2025-12-26,STR-01,SKU-00001,True,12,38.64
2025-12-26,STR-01,SKU-00010,True,3,24.33
2025-12-26,STR-03,SKU-00001,True,43,138.46
2025-12-26,STR-03,SKU-00023,True,6,25.2
2025-12-26,STR-04,SKU-00001,True,21,67.62
2025-12-27,STR-03,SKU-00001,True,42,135.24
2025-12-27,STR-03,SKU-00017,True,39,145.86
2025-12-27,STR-03,SKU-00005,True,2,6.86
2025-12-27,STR-04,SKU-00001,True,24,77.28
2025-12-27,STR-05,SKU-00019,True,2,17.88
2025-12-27,STR-06,SKU-00023,True,6,25.2
2025-12-27,STR-08,SKU-00001,True,2,6.44
2025-12-27,STR-08,SKU-00023,True,13,54.6
2025-12-27,STR-08,SKU-00019,True,4,35.76
2025-12-27,STR-08,SKU-00017,True,10,37.4
2025-12-28,STR-01,SKU-00013,True,20,99.0
2025-12-28,STR-02,SKU-00002,True,3,9.69
2025-12-28,STR-03,SKU-00023,True,7,29.4
2025-12-28,STR-05,SKU-00001,True,8,25.76
2025-12-28,STR-05,SKU-00013,True,7,34.65
2025-12-28,STR-08,SKU-00019,True,11,98.34
2025-12-29,STR-01,SKU-00013,True,21,103.95
2025-12-29,STR-03,SKU-00013,True,13,64.35
2025-12-29,STR-04,SKU-00017,True,13,48.62
2025-12-29,STR-05,SKU-00013,True,13,64.35
2025-12-29,STR-05,SKU-00017,True,23,86.02
2025-12-29,STR-07,SKU-00013,True,10,49.5
2025-12-29,STR-07,SKU-00017,True,6,22.44
2025-12-30,STR-01,SKU-00007,True,20,88.4
2025-12-30,STR-03,SKU-00013,True,46,227.7
2025-12-30,STR-03,SKU-00007,True,11,48.62
2025-12-30,STR-05,SKU-00013,True,17,84.15
2025-12-30,STR-05,SKU-00017,True,26,97.24
2025-12-30,STR-07,SKU-00013,True,40,198.0
2025-12-31,STR-01,SKU-00007,True,44,194.48
2025-12-31,STR-03,SKU-00013,True,35,173.25
2025-12-31,STR-04,SKU-00017,True,15,56.1
2025-12-31,STR-07,SKU-00013,True,36,178.2
2026-01-01,STR-01,SKU-00007,True,52,229.84
2026-01-01,STR-02,SKU-00016,True,1,3.48
2026-01-01,STR-02,SKU-00007,True,4,17.68
2026-01-01,STR-03,SKU-00001,True,6,19.32
2026-01-01,STR-03,SKU-00013,True,45,222.75
2026-01-01,STR-04,SKU-00013,True,32,158.4
2026-01-01,STR-04,SKU-00017,True,25,93.5
2026-01-01,STR-07,SKU-00013,True,50,247.5
2026-01-01,STR-08,SKU-00001,True,1,3.22
2026-01-01,STR-08,SKU-00017,True,23,86.02
2026-01-02,STR-01,SKU-00007,True,53,234.26
2026-01-02,STR-03,SKU-00013,True,36,178.2
2026-01-02,STR-03,SKU-00023,True,6,25.2
2026-01-02,STR-03,SKU-00007,True,9,39.78
2026-01-02,STR-04,SKU-00013,True,19,94.05
2026-01-02,STR-07,SKU-00013,True,38,188.1
2026-01-02,STR-08,SKU-00017,True,9,33.66
2026-01-02,STR-08,SKU-00013,True,9,44.55
2026-01-03,STR-01,SKU-00007,True,55,243.1
2026-01-03,STR-04,SKU-00013,True,24,118.8
2026-01-03,STR-08,SKU-00013,True,14,69.3
2026-01-04,STR-07,SKU-00023,True,3,12.6
2026-01-04,STR-07,SKU-00017,True,1,3.74
2026-01-05,STR-05,SKU-00001,True,1,3.22
2026-01-05,STR-07,SKU-00023,True,29,121.8
2026-01-05,STR-08,SKU-00024,True,6,12.9
2026-01-07,STR-04,SKU-00007,True,9,39.78
2026-01-10,STR-01,SKU-00013,True,2,9.9
2026-01-11,STR-01,SKU-00011,True,2,21.94
2026-01-11,STR-06,SKU-00017,True,6,22.44
2026-01-11,STR-07,SKU-00023,True,25,105.0
2026-01-11,STR-08,SKU-00017,True,9,33.66
2026-01-12,STR-02,SKU-00023,True,9,37.8
2026-01-12,STR-04,SKU-00001,True,14,45.08
2026-01-12,STR-07,SKU-00017,True,13,48.62
2026-01-13,STR-06,SKU-00005,True,1,3.43
2026-01-14,STR-03,SKU-00023,True,1,4.2
2026-01-14,STR-05,SKU-00001,True,1,3.22
2026-01-14,STR-06,SKU-00005,True,3,10.29
2026-01-14,STR-07,SKU-00007,True,7,30.94
2026-01-15,STR-02,SKU-00023,True,4,16.8
2026-01-15,STR-04,SKU-00001,True,8,25.76
2026-01-15,STR-06,SKU-00005,True,4,13.72
2026-01-16,STR-04,SKU-00004,True,2,19.26
2026-01-16,STR-06,SKU-00017,True,5,18.7
2026-01-16,STR-06,SKU-00005,True,6,20.58
2026-01-16,STR-06,SKU-00023,True,12,50.4
2026-01-17,STR-04,SKU-00001,True,16,51.52
2026-01-17,STR-08,SKU-00001,True,12,38.64
2026-01-18,STR-04,SKU-00001,True,16,51.52
2026-01-18,STR-08,SKU-00001,True,12,38.64
2026-01-19,STR-05,SKU-00017,True,17,63.58
2026-01-19,STR-08,SKU-00001,True,12,38.64
2026-01-21,STR-08,SKU-00013,True,4,19.8
2026-01-22,STR-08,SKU-00017,True,2,7.48
2026-01-23,STR-04,SKU-00007,True,2,8.84
2026-01-24,STR-01,SKU-00001,True,2,6.44
2026-01-24,STR-01,SKU-00013,True,3,14.85
2026-01-24,STR-03,SKU-00017,True,12,44.88
2026-01-24,STR-04,SKU-00007,True,22,97.24
2026-01-24,STR-05,SKU-00013,True,3,14.85
2026-01-24,STR-07,SKU-00023,True,4,16.8
2026-01-25,STR-04,SKU-00001,True,1,3.22
2026-01-25,STR-07,SKU-00013,True,28,138.6
2026-01-25,STR-08,SKU-00023,True,2,8.4
2026-01-26,STR-07,SKU-00007,True,4,17.68
2026-01-27,STR-02,SKU-00013,True,12,59.4
2026-01-27,STR-03,SKU-00017,True,4,14.96
2026-01-27,STR-07,SKU-00023,True,19,79.8
