level,method,wmape,mape,bias,accuracy_pct,n_series
Store-SKU,Bottom-up (GBM),0.1446,0.1773,0.0394,85.54,152
SKU,Bottom-up (GBM),0.093,0.1095,0.0394,90.7,24
Category,Bottom-up (GBM),0.0709,0.0865,0.0394,92.91,6
Total,Bottom-up (GBM),0.0499,0.0667,0.0394,95.01,1
SKU,Top-down (ETS share),0.1268,0.1368,-0.007,87.32,24
Category,Top-down (ETS share),0.1045,0.1155,-0.007,89.55,6
Total,Top-down (ETS share),0.0694,0.0814,-0.007,93.06,1
Store-SKU,Baseline (4-week moving average),0.1548,0.1895,0.0587,84.52,152
SKU,Baseline (4-week moving average),0.1033,0.1208,0.0587,89.67,24
Category,Baseline (4-week moving average),0.0792,0.0941,0.0587,92.08,6
Total,Baseline (4-week moving average),0.061,0.0787,0.0587,93.9,1
