date,location_type,location_id,sku_id,on_hand_units,on_order_units,days_of_supply,anomaly_score,anomaly_type
2026-07-31,Warehouse,WH-QLD,SKU-00020,652.6,0.0,35.9,0.7437330346439979,Unexplained inventory build-up
2026-07-31,Warehouse,WH-VIC,SKU-00020,579.0,0.0,35.9,0.7383986932775273,Unexplained inventory build-up
2025-06-27,Warehouse,WH-VIC,SKU-00020,694.3,0.0,43.0,0.7377124701730647,Abnormal stock position
2025-07-04,Warehouse,WH-VIC,SKU-00020,599.4,0.0,37.1,0.7348475544883678,Unexplained inventory drop
2026-07-31,Warehouse,WH-NSW,SKU-00020,507.2,0.0,36.7,0.7344127666949092,Unexplained inventory build-up
2025-06-27,Warehouse,WH-QLD,SKU-00016,636.3,0.0,40.2,0.7334820739274456,Abnormal stock position
2026-07-31,Warehouse,WH-QLD,SKU-00016,517.2,0.0,32.7,0.7318229157510048,Unexplained inventory build-up
2025-06-27,Warehouse,WH-VIC,SKU-00004,666.1,0.0,36.9,0.7310313666184706,Abnormal stock position
2025-06-27,Warehouse,WH-NSW,SKU-00020,589.2,0.0,42.6,0.7307576944507793,Abnormal stock position
2025-06-27,Warehouse,WH-QLD,SKU-00020,650.1,0.0,35.7,0.7266655516592407,Abnormal stock position
2026-07-31,Warehouse,WH-QLD,SKU-00010,466.7,0.0,33.9,0.7265264749034903,Unexplained inventory build-up
2025-07-11,Warehouse,WH-VIC,SKU-00020,471.4,0.0,29.2,0.7249418418605541,Unexplained inventory drop
2025-07-04,Warehouse,WH-QLD,SKU-00016,539.1,0.0,34.1,0.7232611063557323,Unexplained inventory drop
2025-07-11,Warehouse,WH-NSW,SKU-00011,170.7,105.1,22.8,0.721035206554667,Unexplained inventory drop
2025-07-04,Warehouse,WH-NSW,SKU-00020,487.0,0.0,35.2,0.7205854871051853,Unexplained inventory drop
2025-07-04,Warehouse,WH-VIC,SKU-00004,543.5,0.0,30.1,0.7190005994585894,Unexplained inventory drop
2026-07-31,Warehouse,WH-WA,SKU-00010,330.4,0.0,36.9,0.7184199333787262,Unexplained inventory build-up
2025-07-18,Warehouse,WH-VIC,SKU-00020,321.4,262.6,19.9,0.718103725063214,Unexplained inventory drop
2025-07-18,Warehouse,WH-QLD,SKU-00020,174.0,553.6,9.6,0.7178024461062311,Unexplained inventory drop
2026-07-31,Warehouse,WH-WA,SKU-00020,300.3,0.0,40.0,0.7175984483549439,Unexplained inventory build-up
2025-06-27,Warehouse,WH-VIC,SKU-00002,1192.8,0.0,26.4,0.7141058745256033,Abnormal stock position
2025-07-18,Warehouse,WH-NSW,SKU-00020,257.0,242.1,18.6,0.7140293937792608,Unexplained inventory drop
2025-07-11,Warehouse,WH-WA,SKU-00005,92.2,66.3,21.4,0.7125399139213997,Unexplained inventory drop
2025-07-04,Warehouse,WH-QLD,SKU-00020,529.0,0.0,29.1,0.7120253473526805,Unexplained inventory drop
2026-07-31,Warehouse,WH-NSW,SKU-00014,827.6,0.0,24.0,0.7117251782349019,Unexplained inventory build-up
2025-06-27,Warehouse,WH-VIC,SKU-00018,820.5,0.0,26.4,0.7114534642515428,Abnormal stock position
2026-07-31,Warehouse,WH-QLD,SKU-00005,315.0,0.0,35.0,0.7105365144239159,Unexplained inventory build-up
2025-07-11,Warehouse,WH-QLD,SKU-00016,416.1,0.0,26.3,0.7103755998723115,Unexplained inventory drop
2025-06-27,Warehouse,WH-NSW,SKU-00002,900.3,0.0,25.7,0.7096100573487099,Abnormal stock position
2026-07-31,Warehouse,WH-VIC,SKU-00011,303.7,0.0,34.3,0.7078616142699222,Unexplained inventory build-up
2025-06-27,Warehouse,WH-QLD,SKU-00017,1016.1,0.0,25.1,0.7064820659817751,Abnormal stock position
2025-07-11,Warehouse,WH-VIC,SKU-00002,653.0,431.0,14.5,0.7063940155002393,Unexplained inventory drop
2025-06-27,Warehouse,WH-VIC,SKU-00010,555.3,0.0,30.1,0.7049482214362536,Abnormal stock position
2025-07-04,Warehouse,WH-NSW,SKU-00010,319.5,0.0,30.9,0.7047461438297931,Unexplained inventory drop
2025-06-27,Warehouse,WH-QLD,SKU-00002,654.6,0.0,27.3,0.7043606538932118,Abnormal stock position
2025-07-11,Warehouse,WH-NSW,SKU-00020,418.0,0.0,30.2,0.7041210343412552,Unexplained inventory drop
2026-07-31,Warehouse,WH-NSW,SKU-00004,216.6,0.0,38.4,0.7035292345976644,Unexplained inventory build-up
2025-07-04,Warehouse,WH-VIC,SKU-00002,1007.0,0.0,22.3,0.7035095470258856,Unexplained inventory drop
2025-06-27,Warehouse,WH-VIC,SKU-00013,700.0,0.0,25.7,0.7031524209730527,Abnormal stock position
2026-07-31,Warehouse,WH-QLD,SKU-00021,285.0,0.0,33.0,0.7022429696241937,Unexplained inventory build-up
2025-07-11,Warehouse,WH-NSW,SKU-00016,135.2,0.0,26.8,0.7019808906704296,Unexplained inventory drop
2025-07-04,Warehouse,WH-WA,SKU-00005,135.2,0.0,31.4,0.7019025828652486,Unexplained inventory drop
2025-06-27,Warehouse,WH-NSW,SKU-00010,406.2,0.0,39.3,0.701836256146277,Abnormal stock position
2025-07-11,Warehouse,WH-VIC,SKU-00004,399.5,293.7,22.1,0.700738837469665,Unexplained inventory drop
2025-06-27,Warehouse,WH-NSW,SKU-00014,823.6,0.0,23.9,0.7004697634743701,Abnormal stock position
2025-06-27,Warehouse,WH-QLD,SKU-00007,856.1,0.0,23.5,0.6992859443112034,Abnormal stock position
2025-07-04,Warehouse,WH-NSW,SKU-00005,58.3,0.0,21.3,0.6992685599180133,Unexplained inventory drop
2026-07-31,Warehouse,WH-QLD,SKU-00002,575.5,0.0,24.0,0.6991137603518914,Unexplained inventory build-up
2025-06-27,Warehouse,WH-QLD,SKU-00023,759.6,0.0,23.5,0.6981041258451178,Abnormal stock position
2025-07-11,Warehouse,WH-NSW,SKU-00021,74.7,0.0,23.8,0.6971782844108058,Unexplained inventory drop
2026-07-31,Warehouse,WH-VIC,SKU-00010,491.3,0.0,26.7,0.6964106298800308,Unexplained inventory build-up
2025-07-04,Warehouse,WH-NSW,SKU-00021,99.7,0.0,31.8,0.6964103803618913,Unexplained inventory drop
2025-07-04,Warehouse,WH-VIC,SKU-00011,278.4,0.0,31.5,0.696385073021614,Unexplained inventory drop
2026-07-31,Warehouse,WH-NSW,SKU-00016,175.5,0.0,34.8,0.6961188337546086,Unexplained inventory build-up
2026-07-31,Warehouse,WH-NSW,SKU-00011,245.8,0.0,32.8,0.6957200784348518,Unexplained inventory build-up
2025-06-27,Warehouse,WH-VIC,SKU-00008,708.6,0.0,23.3,0.6955055830874435,Abnormal stock position
2025-06-27,Warehouse,WH-VIC,SKU-00011,350.7,0.0,39.6,0.6953842894078355,Abnormal stock position
2026-07-31,Warehouse,WH-VIC,SKU-00014,676.2,0.0,24.0,0.6946300326693239,Unexplained inventory build-up
2025-07-11,Warehouse,WH-WA,SKU-00016,86.3,0.0,26.0,0.6943154308334343,Unexplained inventory drop
2025-07-04,Warehouse,WH-VIC,SKU-00018,696.0,0.0,22.4,0.6942212547715212,Unexplained inventory drop
2025-07-04,Warehouse,WH-NSW,SKU-00016,174.2,0.0,34.6,0.6940207265922872,Unexplained inventory drop
2025-08-01,Warehouse,WH-NSW,SKU-00020,297.2,221.0,21.5,0.6939911750637274,Unexplained inventory build-up
2025-06-27,Warehouse,WH-NSW,SKU-00011,305.6,0.0,40.8,0.6937395313840363,Abnormal stock position
2025-07-04,Warehouse,WH-WA,SKU-00021,199.0,0.0,28.0,0.693071604712182,Unexplained inventory drop
2025-07-04,Warehouse,WH-QLD,SKU-00017,859.4,0.0,21.3,0.692820312483668,Unexplained inventory drop
2026-07-31,Warehouse,WH-VIC,SKU-00004,467.2,0.0,25.9,0.6924945910688552,Unexplained inventory build-up
2025-07-18,Warehouse,WH-NSW,SKU-00016,112.2,81.3,22.3,0.6923392660973386,Unexplained inventory drop
2026-07-31,Warehouse,WH-WA,SKU-00011,153.5,0.0,32.7,0.6922845460031739,Unexplained inventory build-up
2025-07-18,Warehouse,WH-QLD,SKU-00016,284.1,259.1,18.0,0.6918927387975793,Unexplained inventory drop
2025-06-27,Warehouse,WH-VIC,SKU-00001,670.8,0.0,24.0,0.6916258843519011,Abnormal stock position
2025-07-18,Warehouse,WH-NSW,SKU-00010,162.5,157.8,15.7,0.6913816829006084,Unexplained inventory drop
2025-06-27,Warehouse,WH-WA,SKU-00010,340.7,0.0,38.1,0.6909539635154512,Abnormal stock position
2025-07-04,Warehouse,WH-WA,SKU-00010,266.5,0.0,29.8,0.6908784311680446,Unexplained inventory drop
2025-06-27,Warehouse,WH-NSW,SKU-00018,615.5,0.0,24.9,0.6905186638786172,Abnormal stock position
2026-07-31,Warehouse,WH-NSW,SKU-00002,801.2,0.0,22.9,0.6897835771122615,Unexplained inventory build-up
2025-06-27,Warehouse,WH-VIC,SKU-00007,666.8,0.0,23.1,0.6897566364738722,Abnormal stock position
2025-06-27,Warehouse,WH-QLD,SKU-00018,674.8,0.0,22.5,0.6897566364738722,Abnormal stock position
2026-07-31,Warehouse,WH-QLD,SKU-00011,185.7,0.0,32.4,0.6893349043671956,Unexplained inventory build-up
