promo_id,sku_id,promo_type,start_date,end_date,duration_days,actual_units,expected_units_baseline,uplift_units,uplift_pct,planned_uplift_pct,category
PROMO-00001,SKU-00008,Multi-buy,2025-08-13,2025-08-26,14,1538,1081.3,456.7,42.2,40.0,Snacks
PROMO-00002,SKU-00019,Multi-buy,2025-12-15,2025-12-28,14,1860,1218.7,641.3,52.6,40.0,Dairy
PROMO-00003,SKU-00014,Percent Off,2025-09-13,2025-09-24,12,1269,957.0,312.0,32.6,25.0,Snacks
PROMO-00004,SKU-00014,Feature Display,2025-08-12,2025-08-18,7,616,524.3,91.7,17.5,15.0,Snacks
PROMO-00005,SKU-00014,Multi-buy,2026-03-08,2026-03-17,10,1454,1122.7,331.3,29.5,40.0,Snacks
PROMO-00006,SKU-00004,Feature Display,2025-09-14,2025-09-24,11,589,456.5,132.5,29.0,15.0,Household
PROMO-00007,SKU-00004,BOGO,2025-10-02,2025-10-15,14,922,684.3,237.7,34.7,75.0,Household
PROMO-00008,SKU-00024,BOGO,2025-08-30,2025-09-10,12,1137,695.0,442.0,63.6,75.0,Snacks
PROMO-00009,SKU-00024,BOGO,2025-10-31,2025-11-14,15,1605,973.7,631.3,64.8,75.0,Snacks
PROMO-00010,SKU-00012,Feature Display,2026-06-02,2026-06-11,10,301,270.7,30.3,11.2,15.0,Frozen
PROMO-00011,SKU-00013,Multi-buy,2026-04-11,2026-04-25,15,2644,2252.7,391.3,17.4,40.0,Beverages
PROMO-00012,SKU-00020,Percent Off,2025-09-26,2025-10-04,9,696,551.7,144.3,26.2,25.0,Household
PROMO-00013,SKU-00020,BOGO,2025-07-11,2025-07-16,6,598,312.0,286.0,91.7,75.0,Household
PROMO-00014,SKU-00006,BOGO,2026-01-25,2026-02-07,14,1194,680.0,514.0,75.6,75.0,Frozen
PROMO-00015,SKU-00006,Feature Display,2025-12-06,2025-12-15,10,545,498.0,47.0,9.4,15.0,Frozen
PROMO-00016,SKU-00015,Multi-buy,2025-07-17,2025-07-22,6,762,557.2,204.8,36.8,40.0,Dairy
PROMO-00017,SKU-00015,Feature Display,2025-09-08,2025-09-22,15,1512,1430.7,81.3,5.7,15.0,Dairy
PROMO-00018,SKU-00001,Multi-buy,2025-11-27,2025-12-05,9,1460,919.2,540.8,58.8,40.0,Beverages
PROMO-00019,SKU-00005,BOGO,2026-02-19,2026-03-03,13,456,329.4,126.6,38.4,75.0,Personal Care
PROMO-00020,SKU-00005,Percent Off,2026-03-20,2026-03-29,10,307,258.7,48.3,18.7,25.0,Personal Care
PROMO-00021,SKU-00005,Multi-buy,2026-01-27,2026-02-10,15,416,353.1,62.9,17.8,40.0,Personal Care
PROMO-00022,SKU-00017,Multi-buy,2025-10-04,2025-10-18,15,2052,1370.3,681.7,49.7,40.0,Beverages
PROMO-00023,SKU-00017,Multi-buy,2025-07-13,2025-07-23,11,853,644.2,208.8,32.4,40.0,Beverages
PROMO-00024,SKU-00017,Feature Display,2025-09-11,2025-09-22,12,1142,807.1,334.9,41.5,15.0,Beverages
PROMO-00025,SKU-00017,Multi-buy,2026-03-02,2026-03-07,6,1075,825.7,249.3,30.2,40.0,Beverages
PROMO-00026,SKU-00010,Percent Off,2025-12-12,2025-12-24,13,906,724.7,181.3,25.0,25.0,Household
PROMO-00027,SKU-00010,Multi-buy,2026-05-24,2026-06-01,9,684,529.2,154.8,29.3,40.0,Household
