store_id,sku_id,demand_mean_daily,demand_std_daily,lead_time_days,lead_time_std_days,service_level_z,safety_stock_units,reorder_point_units,economic_order_qty_units,supplier_on_time_rate
STR-01,SKU-00001,8.11,2.58,9.0,1.58,1.65,24.7,97.7,386.0,0.697
STR-01,SKU-00002,22.71,5.43,9.7,1.44,1.65,60.8,281.1,386.0,0.886
STR-01,SKU-00003,12.5,4.07,4.0,0.73,1.65,20.2,70.2,386.0,0.828
STR-01,SKU-00004,13.82,3.73,18.8,2.12,1.65,55.2,315.1,386.0,0.811
STR-01,SKU-00007,16.93,4.46,9.1,1.59,1.65,49.7,203.7,386.0,0.695
STR-01,SKU-00008,11.25,3.72,9.8,1.57,1.65,34.9,145.2,386.0,0.877
STR-01,SKU-00009,14.95,3.74,4.0,0.66,1.65,20.4,80.2,386.0,0.835
STR-01,SKU-00010,9.11,3.28,18.6,2.56,1.65,45.0,214.4,386.0,0.814
STR-01,SKU-00011,3.41,1.7,17.4,2.98,1.65,20.5,79.8,386.0,0.761
STR-01,SKU-00013,10.2,18.27,9.0,1.74,1.65,95.0,186.8,386.0,0.694
STR-01,SKU-00014,15.46,21.24,9.7,1.46,1.65,115.3,265.3,386.0,0.844
STR-01,SKU-00015,24.66,5.74,4.1,1.44,1.65,61.7,162.8,386.0,0.685
STR-01,SKU-00018,19.23,4.78,9.8,1.07,1.65,42.0,230.5,386.0,0.845
STR-01,SKU-00019,20.0,4.73,4.0,0.73,1.65,28.7,108.7,386.0,0.841
STR-01,SKU-00020,9.02,2.98,19.2,3.32,1.65,53.9,227.0,386.0,0.789
STR-01,SKU-00021,4.07,2.01,17.4,3.22,1.65,25.7,96.5,386.0,0.694
STR-01,SKU-00022,10.16,4.6,7.9,1.64,1.65,34.8,115.1,386.0,0.704
STR-01,SKU-00023,9.54,3.13,9.0,1.72,1.65,31.2,117.0,386.0,0.703
STR-01,SKU-00024,15.54,3.96,9.9,0.92,1.65,31.3,185.1,386.0,0.826
