supplier_id,sku_id,quoted_lead_time_days,observed_avg_lead_time_days,observed_std_lead_time_days,on_time_rate,sample_size,late_rate,status
SUP-01,SKU-00015,4.0,4.1,1.44,0.685,257,0.31499999999999995,Critical
SUP-02,SKU-00002,9.8,9.7,1.44,0.886,158,0.11399999999999999,Healthy
SUP-02,SKU-00004,18.6,18.8,2.12,0.811,111,0.18899999999999995,Healthy
SUP-02,SKU-00008,9.8,9.8,1.57,0.877,122,0.123,Healthy
SUP-02,SKU-00014,9.8,9.7,1.46,0.844,167,0.15600000000000003,Healthy
SUP-02,SKU-00016,18.5,18.5,2.4,0.897,107,0.10299999999999998,Healthy
SUP-02,SKU-00018,9.9,9.8,1.07,0.845,161,0.15500000000000003,Healthy
SUP-02,SKU-00024,9.9,9.9,0.92,0.826,121,0.17400000000000004,Healthy
SUP-03,SKU-00010,18.5,18.6,2.56,0.814,113,0.18600000000000005,Healthy
SUP-04,SKU-00005,17.7,18.0,2.25,0.664,107,0.33599999999999997,Critical
SUP-04,SKU-00011,17.4,17.4,2.98,0.761,113,0.239,Warning
SUP-04,SKU-00021,17.4,17.4,3.22,0.694,111,0.30600000000000005,Critical
SUP-05,SKU-00001,8.9,9.0,1.58,0.697,165,0.30300000000000005,Critical
SUP-05,SKU-00007,8.9,9.1,1.59,0.695,164,0.30500000000000005,Critical
SUP-05,SKU-00013,8.9,9.0,1.74,0.694,170,0.30600000000000005,Critical
SUP-05,SKU-00017,9.0,9.1,1.34,0.735,170,0.265,Warning
SUP-05,SKU-00023,8.9,9.0,1.72,0.703,165,0.29700000000000004,Warning
SUP-06,SKU-00003,4.0,4.0,0.73,0.828,239,0.17200000000000004,Healthy
SUP-06,SKU-00009,4.0,4.0,0.66,0.835,237,0.16500000000000004,Healthy
SUP-06,SKU-00019,4.0,4.0,0.73,0.841,226,0.15900000000000003,Healthy
SUP-07,SKU-00006,7.9,8.0,1.71,0.692,201,0.30800000000000005,Critical
SUP-07,SKU-00012,8.0,8.1,1.44,0.741,135,0.259,Warning
SUP-07,SKU-00020,19.3,19.2,3.32,0.789,109,0.21099999999999997,Warning
SUP-07,SKU-00022,7.9,7.9,1.64,0.704,179,0.29600000000000004,Warning
